country,total_by_country_THS,domestic_effect_THS,spillover_generated_THS,domestic_share_pct,spillover_share_pct
BG,518.6972085827991,496.4076084033192,22.28960017947992,95.70277228975644,4.297227710243567
RO,736.1301541465526,701.7479326020577,34.38222154449488,95.32932846850208,4.670671531497933
HR,144.80979232624526,137.1928894296036,7.616902896641648,94.740063655722,5.259936344277985
LV,115.95722446927016,108.18790816641402,7.76931630285614,93.29984281840493,6.700157181595087
LT,190.32813192423075,176.2393190598766,14.088812864354168,92.59761932095098,7.402380679049009
PL,1378.234387134913,1271.675476269775,106.55891086513816,92.26844781556686,7.731552184433147
UK,3242.859902591767,2985.852415271224,257.0074873205431,92.07466572591876,7.925334274081249
EL,336.21141341342377,303.4219706597752,32.789442753648586,90.24737369241868,9.752626307581329
CY,55.153016755249666,49.747158784206306,5.4058579710433605,90.198436478946,9.801563521054016
ES,1630.1565275249045,1468.4553794258263,161.70114809907818,90.08063671378896,9.919363286211045
PT,335.8533073506479,288.7929397228653,47.060367627782625,85.98782069498895,14.012179305011044
DE,5171.091861919816,4373.33160990965,797.7602520101664,84.57269231891019,15.427307681089818
EE,95.62858735137156,80.45825968068999,15.17032767068156,84.13620017731655,15.863799822683442
NL,1004.1281417380644,839.0537494073999,165.07439233066452,83.56042565992283,16.43957434007717
SI,137.33380165948907,113.01029685319004,24.323504806299027,82.28877049030675,17.71122950969325
IT,2458.0212610819763,2022.2167849177968,435.8044761641795,82.27010957698769,17.7298904230123
FR,2656.362115336603,2179.809251553319,476.55286378328447,82.05994352080656,17.940056479193448
CZ,510.11453632808315,418.47668892138984,91.63784740669333,82.03582903825428,17.964170961745715
FI,398.3897674020791,312.7025202832976,85.6872471187815,78.49160442107923,21.50839557892077
HU,484.1304492279909,373.818187937689,110.31226129030188,77.21435173800592,22.785648261994087
SK,217.05125128148944,163.46845985648585,53.58279142500359,75.31329991942172,24.686700080578262
SE,609.3415197953077,436.7156999504827,172.625819844825,71.67010383556102,28.32989616443897
DK,460.2924021200659,327.3117587380676,132.98064338199833,71.10952890608203,28.890471093917977
BE,754.9068249875403,530.6826213436589,224.22420364388145,70.29776440985519,29.702235590144817
AT,531.4891130472976,371.70030281994025,159.78881022735732,69.93563813354393,30.064361866456068
MT,18.9129967447703,13.07866355616254,5.83433318860776,69.15172530645609,30.84827469354391
IE,584.7449406190459,354.5722722637448,230.17266835530108,60.63708253522868,39.36291746477132
LU,102.40155590876569,40.21761601953002,62.18393988923567,39.27441889199591,60.72558110800409
