sector,A,B-E,F,G-I,J,K,L,M-N,O-Q,R-U,Total
A,730.0739129365295,604.6514245880992,1.6251591620733292,78.37999963902013,5.3555849165639176,2.2804646953896364,0.2346843939259507,15.770589625096312,0.692684711085845,0.9723559674118613,1440.0368606351956
B-E,39.144274836566275,8307.20844967241,23.39308684313933,337.8179764981827,61.82821541753451,27.964851596781592,2.508069393559264,120.14177477478714,7.065550392509848,6.355408564885883,8933.427657990358
F,4.0781460115978145,207.58564342986705,95.14300858720762,79.20140655846066,11.05409384551817,13.597202139558476,3.301201816237575,32.279789687420305,2.6647562928634634,1.5446849633871516,450.4499333321183
G-I,42.08952290639005,2312.2063155819937,16.862064024045566,3844.286255499054,97.0768468516302,78.2428707803918,1.9856146421841931,189.14541833233824,10.37813067255925,9.169277354310983,6601.442316644899
J,2.742107808924092,222.79203592183217,1.3816933151650013,88.23313605415095,483.13871055518905,44.01570892624907,0.5270028859453479,63.381103847760265,2.292329607756043,2.765633840191001,911.269462763163
K,5.9907051098125415,246.0509274508446,2.0528577867896756,102.75914955944324,16.536004718919585,540.1192361642225,1.8596851912504309,40.58472989092403,1.5857941865732057,1.7792402453725016,959.3183303041523
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-N,28.743691868761072,1854.7291973280312,13.071875759229169,685.2190912034482,143.83846285327644,188.1555993938321,4.050208745671457,1897.8216846089676,17.391884754728643,16.169887655770324,4849.1915841717155
O-Q,2.71258960535474,162.310600972511,1.0879860169695734,52.68725763461609,12.819955212930976,8.472086613345466,0.2762260457340967,30.310258828101105,72.0316509811567,1.0231460898213665,343.7317580005411
R-U,2.129800636912701,136.45118852361514,0.7289604464875993,47.77768072826761,19.15072065009456,9.922739802815144,0.1884970823227116,30.75220144602053,1.7620139106792876,141.00048569991714,389.8642889271324
Total,857.7047517208488,14053.985783469201,155.34669194110688,5316.361953374643,850.7985950216573,912.7707601125858,14.931190196831027,2420.1875510414156,115.86479550991228,180.7801203810682,24878.732192769272
